Assessment,Questionnaire,Control Identifier,Control Question,Response,Comment,Evidence
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-001","Please identify the environment and provide a brief description in the comments section.","Yes","PeriWatch Surveillance and Vigilance - Central fetal surveillance including early-warning capabilities.",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-003","Is the identified environment a Service?","No","On-prem hosting only",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-004","Is the identified environment a Product?","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-005","What is the scope of client records that the identified environment will transmit, process, or store?","Yes","ADT: Base patient information and IDs: MR#, Account#, DOB, Name, Lastname
Patient Vitals: Fetal Tracings (from the monitor) and maternal vitals (from the monitor and/or manually charted by clinicians)
Clinical data: Strip annotations, Cervical exams and relevant OB status fields (numerous clinical values typically interfaced bidirectionally to the EMR)",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-007","Please indicate if the identified environment will have access into the client's network for remote support.","Yes","Typically yes. PeriGen provide 24x7 support and remote access is only through customer approved remote access technologies.",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-008","Please indicate if the identified environment will have access into the client's network to provide onsite support.","Partial","Typically onsite support is only done at installation. rarely after initial install.",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-009","Please indicate if the identified environment will have access to infrastructure that stores or transmits client data.","No","On-prem (customer network) only. There is no other data transfer outside the customer network.",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-010","Please indicate if the identified environment will have access to a database or application that stores or transmits client data.","Yes","On-prem (customer network) only. There is no other data transfer outside the customer network.",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-011","Please indicate if the identified environment will receive transmitted data from client.","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-012","Please indicate if the identified environment will not access client's information.","No","Unclear question.",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-014","Will the identified environment have access to client PHI (Protected Health Information)?","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-015","Will the identified environment have access to client PII (Personally Identifiable Information)?","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-016","Will the identified environment have access to client PCI (Payment Card Industry)?","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-017","Will the identified environment have access to client Employee Information?","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-018","Will the identified environment have access to client Internal/Proprietary Information?","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-020","Please indicate if the identified environment will utilize workstation device(s) to access and/or transmit client data.","Yes","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-021","Please indicate if the identified environment will utilize mobile device(s) to access and/or transmit client data.","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-022","Please indicate if the identified environment will utilize medical device(s) to access and/or transmit client data.","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-023","Please indicate if the identified environment will utilize any other method to access and/or transmit client data. Please explain in the comments section.","No","",""
"VSRM for: St. Luke's (SLUHN) / PeriGen (PeriWatch - Unknown) 20220912","IVPQ for St. Luke's (SLUHN)- RA0001736- PeriGen - PeriWatch Surveillance","Scope-025","Please indicate if data will be stored in a client data center for the identified environment.","Yes","",""
